,0.0,2.5,5.0,7.5,10.0,12.5,15.0,17.5,20.0,22.5,25.0,27.5,30.0,32.5,35.0,37.5,40.0,42.5,45.0,atm,close,dte
count,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0,2990.0
mean,1.0,0.9792922251944524,0.9645265128348733,0.9554812981118648,0.9544378094875943,0.9591370310457008,0.9584566026678403,0.9388975504860225,0.9412195756062178,0.9574477410334488,0.97598534343923,0.9995124499316309,1.0048148640449426,0.993675942185539,0.9982574098942933,1.00153277663906,0.9981860939435543,1.0030996346997199,1.0101491480262361,0.17968227424749114,271.63694648829414,19.36421404682274
std,0.0,0.04925224614576713,0.07081823424804319,0.09154651191128396,0.10855806815070636,0.14080126725913333,0.21058399604084604,0.3096258957861067,0.36514876195295226,0.41302865928228455,0.44809141476472303,0.47439907532567877,0.5053439727877118,0.5471731016114584,0.5606185295164138,0.5807438186960082,0.589309502413382,0.6397742859347025,0.6610845534854749,0.09517690763652523,56.98544168594582,7.970680022080253
min,1.0,0.12244897959183673,0.74,0.7066666666666667,0.5923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,123.27,8.0
25%,1.0,0.9618320610687022,0.9375,0.9176470588235294,0.9053315313999074,0.8970739530380053,0.8905519571951562,0.8788489736070381,0.8736931920244297,0.8733908045977012,0.8765018773466833,0.8842561606327959,0.8847635105155738,0.8758243703802063,0.8738756613756613,0.8755156906833512,0.8764391732556527,0.8730154473288994,0.8717388054122748,0.124,242.3525,14.0
50%,1.0,0.9780701754385964,0.9624236647957922,0.9494382022471911,0.943705985915493,0.942857142857143,0.9461538461538461,0.9542261904761906,0.9682409602097937,0.9832633053221289,0.9939563248612329,1.0079712906504064,1.008,1.006350806451613,1.008438968807862,1.008163401306144,1.0063301282051282,1.006350806451613,1.0078784119106698,0.155,261.625,18.0
75%,1.0,0.993103448275862,0.9849624060150376,0.9827586206896552,0.9842516413197042,1.0,1.019449099287809,1.0476190476190477,1.0817717996289424,1.1198672566371681,1.1569119543193958,1.1927003789807116,1.2074460916442047,1.218091525109069,1.248544625310542,1.2562370867768595,1.264003759398496,1.2741935483870968,1.3039899076291481,0.199,300.77,24.0
max,1.0,2.3666666666666667,2.8333333333333335,3.433333333333333,3.433333333333333,3.7333333333333334,4.233333333333333,4.6000000000000005,4.8999999999999995,5.6000000000000005,6.266666666666667,6.8999999999999995,7.566666666666667,8.200000000000001,6.300000000000001,6.866666666666666,7.300000000000001,11.033333333333335,11.033333333333335,0.83,440.4,73.0
0.1,1.0,0.9444444444444445,0.9090909090909092,0.8858385093167702,0.8730529172320216,0.8648330683624802,0.8513374913374914,0.8236190476190476,0.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,230.424,9.0
